etl_dt,bank_code,data_dt,bank_nm,mortgage_cnt,mortgage_bal,decorator_hse_cnt,decorator_hse_bal,ln_car_cnt,ln_car_bal,ln_worker_cnt,ln_worker_bal,other_cl_cnt,other_cl_bal
2013-11-26 22:30:08.093797,108       ,2006-01-01 00:00:00,陽信商業銀行,20903.0,40404000000.0,4355.0,7458000000.0,4.0,2000000.0,0.0,0.0,29820.0,6884000000.0
2013-11-26 22:30:08.300343,808       ,2006-01-01 00:00:00,玉山商業銀行,38904.0,121260000000,38811.0,81510000000.0,0.0,0.0,24.0,2000000.0,211364.0,22793000000.0
2013-11-26 22:30:08.302045,-01       ,2006-01-01 00:00:00,寶華商業銀行,14893.0,19104000000.0,14487.0,17016000000.0,12381.0,3642000000.0,8.0,9000000.0,115033.0,11932000000.0
2013-11-26 22:30:08.097937,178       ,2006-01-01 00:00:00,嘉義市第三信用合作社,947.0,1279000000.0,697.0,1728000000.0,0.0,0.0,0.0,0.0,932.0,484000000.0
2013-11-26 22:30:08.037808,N003      ,2006-01-01 00:00:00,臺南區中小企業銀行,15664.0,25684000000.0,7655.0,10447000000.0,5.0,1000000.0,2.0,1000000.0,11020.0,4958000000.0
2013-11-26 22:30:08.10034,815       ,2006-01-01 00:00:00,日盛國際商業銀行,30939.0,49123000000.0,6129.0,12236000000.0,57793.0,22525000000.0,0.0,0.0,143195.0,23654000000.0
2013-11-26 22:30:08.102614,098       ,2006-01-01 00:00:00,日商三菱東京日聯銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.006027,029       ,2006-01-01 00:00:00,新加坡大華銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.039758,011       ,2006-01-01 00:00:00,上海商業儲蓄銀行,33615.0,77429000000.0,98.0,72000000.0,7.0,4000000.0,0.0,0.0,3940.0,881000000.0
2013-11-26 22:30:08.10463,007       ,2006-01-01 00:00:00,第一商業銀行,72442.0,185167000000,31548.0,54030000000.0,14893.0,3510000000.0,20568.0,7809000000.0,33858.0,10231000000.0
2013-11-26 22:30:08.106754,N007      ,2006-01-01 00:00:00,荷商安銀銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000.0
2013-11-26 22:30:08.0418,N004      ,2006-01-01 00:00:00,新竹市第一信用合作社,3441.0,8076000000.0,11.0,33000000.0,0.0,0.0,0.0,0.0,176.0,85000000.0
2013-11-26 22:30:08.110963,325       ,2006-01-01 00:00:00,香港上海匯豐銀行,18470.0,62259000000.0,23.0,3000000.0,0.0,0.0,0.0,0.0,46087.0,19934000000.0
2013-11-26 22:30:08.113521,814       ,2006-01-01 00:00:00,大眾商業銀行,23424.0,57225000000.0,375.0,374000000.0,0.0,0.0,0.0,0.0,299942.0,22912000000.0
2013-11-26 22:30:07.989612,822       ,2006-01-01 00:00:00,中國信託商業銀行,187474.0,308367000000,15208.0,17148000000.0,45526.0,14248000000.0,0.0,0.0,792502.0,118619000000
2013-11-26 22:30:08.010952,037       ,2006-01-01 00:00:00,法國興業銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.044151,097       ,2006-01-01 00:00:00,美商富國銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.115642,N008      ,2006-01-01 00:00:00,台北縣淡水信用合作社,1709.0,3824000000.0,751.0,1135000000.0,0.0,0.0,0.0,0.0,313.0,840000000.0
2013-11-26 22:30:08.117849,101       ,2006-01-01 00:00:00,台北市第一信用合作社,3628.0,8887000000.0,3540.0,3813000000.0,0.0,0.0,0.0,0.0,2801.0,898000000.0
2013-11-26 22:30:08.046369,106       ,2006-01-01 00:00:00,台北市第九信用合作社,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,108000000.0
2013-11-26 22:30:08.11979,022       ,2006-01-01 00:00:00,美商美國銀行,1.0,9000000.0,0.0,0.0,0.0,0.0,19.0,3000000.0,0.0,0.0
