101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：臺北市,單位：金額(千元),,,,,,,,
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
士林區,福林里,971,1332138,1372,678,357,1290,5672.61,413.48
士林區,福志里,2773,3892662,1404,748,409,1467,7097.33,505.59
士林區,福德里,1545,1789278,1158,735,394,1487,1256.33,108.48
士林區,福佳里,2628,3234140,1231,704,385,1396,2267.61,184.26
士林區,舊佳里,2112,2391373,1132,644,346,1287,3086.38,272.58
士林區,富光里,1634,1241018,759,586,352,940,666.75,87.79
士林區,後港里,2695,2672738,992,655,379,1196,1377.67,138.91
士林區,前港里,1458,1648613,1131,696,376,1227,2263.39,200.17
士林區,福中里,2233,2134975,956,661,383,1158,1082.77,113.25
士林區,葫蘆里,2261,1880067,832,621,366,1050,855.35,102.87
士林區,福順里,1615,1320280,818,595,356,998,870.29,106.46
士林區,葫東里,1193,966927,811,592,346,1037,836.36,103.19
士林區,社新里,2573,1977519,769,575,359,956,675.57,87.9
士林區,社子里,1924,1662292,864,601,362,1038,1355.37,156.88
士林區,永倫里,2252,1689868,750,567,348,948,672.6,89.63
士林區,翠山里,1043,1492128,1431,803,409,1535,3062.59,214.08
士林區,福安里,1107,790605,714,534,332,881,624.44,87.43
士林區,富洲里,1437,1021983,711,547,328,861,633.04,89.01
士林區,承德里,2002,2276203,1137,730,393,1336,1556.84,136.93
士林區,蘭雅里,3039,3954396,1301,757,405,1402,2887.51,221.91
士林區,德行里,1532,1591635,1039,672,365,1204,1671.45,160.88
士林區,忠誠里,2048,3443732,1682,757,409,1472,7879.81,468.61
士林區,三玉里,2176,3393437,1559,778,428,1510,5260.76,337.34
士林區,芝山里,2668,5256655,1970,775,417,1588,13653.72,692.99
士林區,岩山里,1152,1451403,1260,689,377,1344,2827.31,224.41
士林區,義信里,1053,1166553,1108,683,361,1272,1476.96,133.32
士林區,永福里,435,2254076,5182,767,418,1838,27754.47,535.62
士林區,新安里,708,2578124,3641,682,375,1474,27093.65,744.04
士林區,公館里,378,666662,1764,668,392,1245,6222.02,352.79
士林區,陽明里,978,1899867,1943,802,416,1550,5217.38,268.58
士林區,菁山里,430,1470662,3420,638,385,1081,35986.58,1052.2
士林區,平等里,359,313730,874,598,366,1020,1446.62,165.54
士林區,溪山里,336,654789,1949,580,343,968,16110.92,826.72
士林區,百齡里,2377,2021969,851,643,378,1078,825.16,97
士林區,天玉里,3058,4782889,1564,845,425,1732,3158.62,201.95
士林區,天福里,2213,2815696,1272,745,391,1469,2405.41,189.05
